venue,hindex
int j hyperther,1
int j imaging syst technol,6
int j impact eng,1
int j impot res,1
int j ind organ,2
int j infect dis,1
int j inform manage,7
int j infrar millim wave,1
int j innovat manag,2
int j innovat sci,1
int j innovat tech manag,1
int j intercult relat,2
int j internet market advert,1
int j islam middle e finance manag,1
int j knowl manag stud,1
int j lab hematol,1
int j legal med,2
int j lexicogr,1
int j life cycle assess,2
int j logist res appl,2
int j logist syst manag,1
int j mach tool manuf,5
int j manag decis making,1
int j manag enterprise dev,1
int j manag pract,1
int j manag rev,2
int j manpower,2
int j market res,2
int j mass spectrom,1
int j mater res,2
int j mech sci,2
int j med mushrooms,1
int j med robot comput assist,4
int j miner metall mater,1
int j miner process,3
int j mol med,1
int j mol sci,3
int j multiphase flow,2
int j multiscale comput eng,1
int j nanomed,2
int j neuropsychopharmacol,1
int j neurosci,2
int j nonlinear sci numer sim,3
int j numer anal meth geomech,1
int j numer meth biomed eng,2
int j numer method eng,3
int j numer method fluid,1
int j numer method heat fl f,1
int j numer model electron n,1
int j nurs stud,1
int j obesity,1
int j offend ther comp crimin,1
int j oncol,1
int j oper prod manage,3
int j optomechatronics,6
int j oral maxillofac surg,1
int j parasitol,1
int j pavement eng,1
int j ped otorhinolaryngol,1
int j pept res ther,2
int j pest manage,1
int j pharm,2
int j photoenergy,3
int j plant sci,1
int j plasticity,1
int j precis eng manuf,7
int j pressure vessels piping,2
int j process manag benchmark,1
int j prod dev,1
int j prod econ,7
int j prod qual manag,1
int j prod res,7
int j psychoanal,1
int j psychol,2
int j psychol relig,1
int j psychophysiol,3
int j quantum chem,2
int j quantum inf,1
int j radiat biol,1
int j radiat oncol biol phys,3
int j refract met hard mater,1
int j refrig,3
int j rehabil res,1
int j remote sens,7
int j res mark,3
int j rf microw comput aid en,2
int j risk assess manag,1
int j robotics autom,6
int j robust nonlinear contr,7
int j rock mech mining sci,3
int j satell commun netw,1
int j sci educ,2
int j sediment res,1
int j selection assessment,1
int j serv oper manag,1
int j serv sci,1
int j service ind management,1
int j soc res methodol,1
int j sociol law,1
int j solids struct,3
int j speech lang law,3
int j speech lang pathol,1
int j sports sci coach,1
int j std aids,1
int j steel struct,1
int j stress management,1
int j stroke,1
int j struct stab dyn,1
int j sustain des,1
int j sustain dev plann,1
int j sustain dev world ecol,1
int j sustain transp,1
int j syst evol microbiol,1
int j tech manag sustain dev,1
int j technol assess health c,1
int j technol des educ,2
int j technol manage,1
int j theor phys,3
int j therm sci,3
int j thermophys,2
int j tour res,2
int j train dev,1
int j turbo jet engines,2
int j urol,1
int j veh des,1
int j water resour dev,1
int j wavelets multiresolut i,4
int j wildland fire,2
int l j of communications network and system sciences,4
int negot,2
int ophthalmol,1
int organ,1
int orthop,1
int polym proc,1
int reg sci rev,1
int rev econ financ,1
int rev hydrobiol,1
int rev law economics,1
int rev neurobiol,2
int rev res ment retard,1
int rev sociol sport,1
int small bus j,1
int statist rev,5
int stud quart,1
int urogynecol j,1
intangible capital,1
intech,1
integr biol,2
integr ferroelectrics,2
integr psychol behav sci,2
integr zool,1
integral equation oper theory,1
integral transform spec funct,1
integrat physiol behav sci,1
integrated assessment,1
integrated computer aided engineering,7
integrated environmental assessment and management,2
integrated manufacturing systems,3
integration,3
intelligence,3
intelligent automation and soft computing,5
intelligent buildings international,1
intelligent information management,5
intelligent service robotics,10
intelligent systems engineering,4
intens care med,1
intensive,1
intensive and critical care nursing,1
interact,8
interact learn environ,4
interact stud,4
interactions,2
interactive technology and smart education,3
interchange,1
interciencia,1
intercultural education,1
interdisciplin sci rev,1
interdisciplinary bio central,1
interdisciplinary description of complex systems,1
interdisciplinary information sciences,3
interdisciplinary sciences computational life sciences,5
interfaces,4
interfaces in computing,2
internal medicine news,1
international advances in economic research,2
international agrophysics,1
international congress series,4
international criminal justice review,1
international entrepreneurship and management journal,1
international food and agribusiness management review,1
international journal for computational methods in engineering science and mechanics,1
international journal for simulation and multidisciplinary design optimization,2
international journal of accounting and information management,2
international journal of accounting information systems,4
international journal of actor network theory and technological innovation,1
international journal of adaptive resilient and autonomic systems,2
international journal of advanced intelligence paradigms,6
international journal of advanced mechatronic systems,2
international journal of advanced pervasive and ubiquitous computing,1
international journal of advancements in computing technology,6
international journal of advances in engineering sciences and applied mathematics,2
international journal of aerospace engineering,2
international journal of aerospace innovations,1
international journal of agent technologies and systems,5
international journal of agile management systems,1
international journal of agile systems and management,1
international journal of agricultural and environmental information systems,2
international journal of alzheimer s disease,1
international journal of ambient computing and intelligence,2
international journal of analytical chemistry,1
international journal of antennas and propagation,4
international journal of applied electromagnetics and mechanics,1
international journal of applied evolutionary computation,19
international journal of applied geospatial research,1
international journal of applied logistics,1
international journal of applied management and technology,2
international journal of applied mechanics,1
international journal of applied metaheuristic computing,5
international journal of applied psychoanalytic studies,1
international journal of architectural computing,1
international journal of artificial intelligence and soft computing,4
international journal of artificial intelligence applications,3
international journal of artificial intelligence in education,5
international journal of artificial life research,4
international journal of arts and technology,2
international journal of automation and computing,10
international journal of automation and control,1
international journal of autonomic computing,1
international journal of autonomous and adaptive communications systems,3
international journal of bank marketing,2
international journal of bilingual education and bilingualism,1
international journal of bio inspired computation,5
international journal of biological markers,1
international journal of biomathematics,2
international journal of biomechatronics and biomedical robotics,1
international journal of biomedical engineering and technology,3
international journal of biomedical imaging,6
international journal of biometrics,5
international journal of biostatistics,2
international journal of botany,1
international journal of business intelligence research,4
international journal of clinical and health psychology,1
international journal of cognition and technology,1
international journal of cognitive ergonomics,1
international journal of combinatorics,1
international journal of communication,1
international journal of communication networks and distributed systems,3
international journal of computational biology and drug design,2
international journal of computational intelligence in bioinformatics and systems biology,2
international journal of computational intelligence research,6
international journal of computational intelligence studies,3
international journal of computational models and algorithms in medicine,2
international journal of computational science and engineering,3
international journal of computational vision and robotics,4
international journal of computer aided engineering and technology,1
international journal of computer applications,13
international journal of computer assisted radiology and surgery,8
international journal of computer games technology,4
international journal of computer networks communications,1
international journal of computer science information technology,2
international journal of computers and applications,4
international journal of computers communications control,2
international journal of computers for mathematical learning,1
international journal of computers in healthcare,1
international journal of computing science and mathematics,2
international journal of concrete structures and materials,1
international journal of continuing engineering education and lifelong learning,2
international journal of creative interfaces and computer graphics,4
international journal of critical computer based systems,1
international journal of critical infrastructure protection,1
international journal of critical infrastructures,2
international journal of culture tourism and hospitality research,1
international journal of data mining modelling and management,4
international journal of database management systems,2
international journal of decision support system technology,3
international journal of design and nature,1
international journal of design engineering,1
international journal of diabetes in developing countries,1
international journal of differential equations,1
international journal of digital content technology and its applications,7
international journal of digital crime and forensics,3
international journal of digital curation,1
international journal of digital library systems,5
international journal of digital multimedia broadcasting,5
international journal of disaster resilience in the built environment,1
international journal of distance education technologies,4
international journal of distributed systems and technologies,2
international journal of e adoption,2
international journal of e business research,2
international journal of e collaboration,2
international journal of e health and medical communications,3
international journal of e services and mobile applications,2
international journal of ecology,1
international journal of educational advancement,1
international journal of educational management,2
international journal of educational research,2
international journal of electric and hybrid vehicles,1
international journal of electrical and power engineering,1
international journal of electrical engineering education,1
international journal of electronic finance,2
international journal of electronic governance,1
international journal of electronic marketing and retailing,1
international journal of electronic security and digital forensics,3
international journal of electronics and telecommunications,3
international journal of embedded and real time communication systems,1
international journal of emergency management,1
international journal of emerging electric power systems,1
international journal of emerging markets,1
international journal of emerging technologies in learning (ijet),1
international journal of endocrinology,1
international journal of energy sector management,1
international journal of energy technology and policy,1
international journal of engineering education,1
international journal of engineering systems modelling and simulation,1
international journal of enterprise information systems,2
international journal of entrepreneurial behavior research,1
international journal of environment and sustainable development,1
international journal of environmental research,1
international journal of environmental science and technology,2
international journal of environmental studies,1
international journal of environmental technology and management,1
international journal of evidence based healthcare,1
international journal of fashion design technology and education,1
international journal of financial markets and derivatives,1
international journal of flexible manufacturing systems,3
international journal of fluid machinery and systems,1
international journal of forestry research,1
international journal of fuzzy systems,8
international journal of gaming and computer mediated simulations,2
international journal of gender and entrepreneurship,1
international journal of general medicine,1
international journal of geomechanics,2
international journal of geophysics,1
international journal of geotechnical engineering,1
international journal of granular computing rough sets and intelligent systems,1
international journal of grid and utility computing,2
international journal of handheld computing research,2
international journal of health care quality assurance,1
international journal of healthcare information systems and informatics,2
international journal of healthcare technology and management,1
international journal of heavy vehicle systems,2
international journal of high performance systems architecture,2
international journal of high speed electronics and systems,1
international journal of hospitality tourism administration,1
international journal of housing markets and analysis,2
international journal of human capital and information technology professionals,1
international journal of human factors in manufacturing,1
international journal of human resources development and management,1
international journal of humanities and arts computing,1
international journal of humanoid robotics,8
international journal of image and data fusion,4
international journal of industrial and systems engineering,1
international journal of industrial engineering computations,2
international journal of industrial engineering theory applications and practice,2
international journal of information and communication technology education,2
international journal of information and computer security,1
international journal of information and decision sciences,2
international journal of information and operations management education,1
international journal of information communication technologies and human development,1
international journal of information processing and management,4
international journal of information security,4
international journal of information security and privacy,3
international journal of information system modeling and design,2
international journal of information systems and social change,3
international journal of information systems and supply chain management,1
international journal of information systems in the service sector,2
international journal of information technology and web engineering,3
